Country,Capital City,Latitude,Longitude,Population,Capital Type,ISO-3166-1 alpha-3
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,5534079,Capital,SDN
Suriname,Paramaribo,5.8664,-55.1668,239457,Capital,SUR
Eswatini,Mbabane,-26.3167,31.1333,68010,Capital,SWZ
Sweden,Stockholm,59.3326,18.0649,1582968,Capital,SWE
Switzerland,Bern,46.9481,7.4474,422153,Capital,CHE
Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,2319545,Capital,SYR
Tajikistan,Dushanbe,38.5358,68.7791,872653,Capital,TJK
North Macedonia,Skopje,42.0,21.4333,584208,Capital,MKD
Thailand,Krung Thep (Bangkok),13.722,100.5252,10156316,Capital,THA
Timor-Leste,Dili,-8.5601,125.5668,281135,Capital,TLS
Togo,Lomé,6.1375,1.2123,1745744,Capital,TGO
Tokelau,Tokelau,-9.38,-171.25,0,Others,TKL
Tonga,Nuku'alofa,-21.1394,-175.2032,22904,Capital,TON
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,544417,Capital,TTO
Tunisia,Tunis,36.819,10.1658,2290777,Capital,TUN
Türkiye,Ankara,39.9199,32.8543,4919074,Capital,TUR
Turkmenistan,Ashgabat,37.95,58.3833,810186,Capital,TKM
Turks and Caicos Islands,Cockburn Town,21.4612,-71.1419,5447,Capital,TCA
Tuvalu,Funafuti,-8.5189,179.1991,7042,Capital,TUV
Uganda,Kampala,0.3163,32.5822,2986352,Capital,UGA
Ukraine,Kyiv (Kiev),50.4454,30.5186,2956706,Capital,UKR
United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,1419699,Capital,ARE
United Kingdom of Great Britain and Northern Ireland,London,51.5085,-0.1257,9046485,Capital,GBR
United Republic of Tanzania,Dodoma,-6.1722,35.7395,261645,Capital,TZA
United States of America,"Washington, D.C.",38.8951,-77.0364,5206593,Capital,USA
United States Virgin Islands,Charlotte Amalie,18.3419,-64.9307,52322,Capital,VIR
Uruguay,Montevideo,-34.8335,-56.1674,1736989,Capital,URY
Uzbekistan,Tashkent,41.2647,69.2163,2463969,Capital,UZB
Vanuatu,Port Vila,-17.7338,168.3219,52690,Capital,VUT
Venezuela (Bolivarian Republic of),Caracas,10.488,-66.8792,2934560,Capital,VEN
Viet Nam,Hà Noi,21.0245,105.8412,4282738,Capital,VNM
Wallis and Futuna Islands,Matu-Utu,-13.2816,-176.1745,1025,Capital,WLF
Western Sahara,El Aaiún,27.1532,-13.2014,232388,Capital,ESH
Yemen,Sana'a',15.3531,44.2078,2779317,Capital,YEM
Zambia,Lusaka,-15.4134,28.2771,2523844,Capital,ZMB
Zimbabwe,Harare,-17.8294,31.0539,1515016,Capital,ZWE
